group;name;protein;fat;carb;calorie
Zöldség-, főzelékfélék és készítményeik;Laskagomba (fagyasztott);1,7;0,6;5,8;37
Zöldség-, főzelékfélék és készítményeik;Lencse;26;1,9;53;342
Zöldség-, főzelékfélék és készítményeik;Lilahagyma;1,2;0,1;8,3;39
Zöldség-, főzelékfélék és készítményeik;Olívabogyó;0,2;21,9;6,5;224
Zöldség-, főzelékfélék és készítményeik;Padlizsán;1,3;0,2;4,8;27
Zöldség-, főzelékfélék és készítményeik;Paprika;1,2;0,3;3;19,5
Zöldség-, főzelékfélék és készítményeik;Paprika (csípős, fagyasztott);2,1;0,7;9,3;54
Zöldség-, főzelékfélék és készítményeik;Paprika (piros, fagyasztott);1,4;0,2;5,4;30
Zöldség-, főzelékfélék és készítményeik;Paprika (sárga, fagyasztott);1,4;0,1;4,7;27
Zöldség-, főzelékfélék és készítményeik;Paprika (zöld, fagyasztott);1,4;0,1;4,2;24
Zöldség-, főzelékfélék és készítményeik;Paprika, pritamin;3,4;0,8;8,6;57
Zöldség-, főzelékfélék és készítményeik;Paradicsom;1;0,2;4;22
Zöldség-, főzelékfélék és készítményeik;Paradicsom (fagyasztott);1,1;0,3;3,7;23
Zöldség-, főzelékfélék és készítményeik;Paradicsom, sűrített;5;1;20;111
Zöldség-, főzelékfélék és készítményeik;Paradicsompüré;5;1;20;109
Zöldség-, főzelékfélék és készítményeik;Paraj (spenót);2,3;0,3;1,8;20
Zöldség-, főzelékfélék és készítményeik;Paraj (spenót, fagyasztott);2,6;0,2;2,5;97
Zöldség-, főzelékfélék és készítményeik;Petrezselyem zöldje;4,4;0,4;9,8;62
Zöldség-, főzelékfélék és készítményeik;Petrezselyem gyökér;1,2;0,1;5,9;29
Zöldség-, főzelékfélék és készítményeik;Póréhagyma;2,2;0,3;5,9;37
Zöldség-, főzelékfélék és készítményeik;Póréhagyma (fagyasztott);2,2;0,3;6,3;38
Zöldség-, főzelékfélék és készítményeik;Retek;1,2;0,1;2,2;15
Zöldség-, főzelékfélék és készítményeik;Sárgaborsó;21,7;1,5;53,1;321
Zöldség-, főzelékfélék és készítményeik;Sárgarépa;1,2;0,2;8,1;39
Zöldség-, főzelékfélék és készítményeik;Sárgarépa (fagyasztott);1,7;0,2;10,4;52
Zöldség-, főzelékfélék és készítményeik;Snidling;2,2;0,3;6,3;37
Zöldség-, főzelékfélék és készítményeik;Sóska;2,4;0,5;2,3;24
Zöldség-, főzelékfélék és készítményeik;Sóska (fagyasztott);1,5;0,2;0,4;10
Zöldség-, főzelékfélék és készítményeik;Spárga;2;0,1;1,8;17
Zöldség-, főzelékfélék és készítményeik;Sütőtök;1,5;0,6;16,5;80
Zöldség-, főzelékfélék és készítményeik;Szója (extrudált, teljes őrlemény);41,6;23,5;22,1;480
Zöldség-, főzelékfélék és készítményeik;Szója (granulátum, kocka);45;20,6;18,3;451
Zöldség-, főzelékfélék és készítményeik;Szójaliszt, (extrahált, zsírtalanított);47,3;0,6;33,4;336
Zöldség-, főzelékfélék és készítményeik;Tök;1,1;0,1;6,1;31
Zöldség-, főzelékfélék és készítményeik;Tök (gyalult, fagyasztott);0,8;0,1;2,9;16
