Gabonafélék, kenyerek, pékáruk;búzadara;9.5;1;73.5;344
Gabonafélék, kenyerek, pékáruk;búzakeményítő;0.4;0.1;82.7;338
Gabonafélék, kenyerek, pékáruk;búzakorpa;15.2;4.8;17;175
Gabonafélék, kenyerek, pékáruk;búzaliszt;12.2;1.3;76.2;348
Gabonafélék, kenyerek, pékáruk;búzapehely;12.6;1.5;64.1;323
Gabonafélék, kenyerek, pékáruk;dabasi rozsos kenyér;10;1.8;49.8;255
Gabonafélék, kenyerek, pékáruk;durum liszt;12.3;1.5;72.8;353
Gabonafélék, kenyerek, pékáruk;durum tészta;12.6;1.5;73.1;359
Gabonafélék, kenyerek, pékáruk;félbarna kenyér;9.9;1;52.4;261
Gabonafélék, kenyerek, pékáruk;graham kenyér;10.3;1;54.2;271
Gabonafélék, kenyerek, pékáruk;grahamliszt;14.6;1.8;64.6;337
Gabonafélék, kenyerek, pékáruk;hajdina;9.7;1.7;71.2;339
Gabonafélék, kenyerek, pékáruk;kalács;11.9;10.6;65;405
Gabonafélék, kenyerek, pékáruk;kenyér;10.1;0.8;53.8;257
Gabonafélék, kenyerek, pékáruk;korpás zsemle, kifli;10.8;1.5;49.2;258
Gabonafélék, kenyerek, pékáruk;kuglóf;9.9;8.6;57.8;348
Gabonafélék, kenyerek, pékáruk;kukoricadara;9.7;3.2;70.5;355
Gabonafélék, kenyerek, pékáruk;kukoricaliszt;9.7;3.2;70.3;351
Gabonafélék, kenyerek, pékáruk;kukoricapehely;7.8;0.6;83.2;374
Gabonafélék, kenyerek, pékáruk;kétszersült;11.1;4;80.2;402
Gabonafélék, kenyerek, pékáruk;köles;9.4;3.8;68.6;346
Gabonafélék, kenyerek, pékáruk;lenmagos barnakenyér;14.3;5.6;54.7;328
Gabonafélék, kenyerek, pékáruk;magvas barnakenyér;11;8.6;44.7;302
Gabonafélék, kenyerek, pékáruk;natúr müzli;8.6;2.7;70.1;342
Gabonafélék, kenyerek, pékáruk;puffasztott búzaszelet;13.8;2.6;64.7;338
Gabonafélék, kenyerek, pékáruk;pászka;12.5;1.3;76.5;372
Gabonafélék, kenyerek, pékáruk;rizs;7.9;0.3;77.3;348
Gabonafélék, kenyerek, pékáruk;rozskenyér;8;0.9;53.4;252
Gabonafélék, kenyerek, pékáruk;rozsliszt;9.9;1.1;73.5;344
Gabonafélék, kenyerek, pékáruk;rozspehely;8.9;1.7;61;301
Gabonafélék, kenyerek, pékáruk;zabkorpa;15.1;5.4;56.8;336
Gabonafélék, kenyerek, pékáruk;zabpehely;14.5;6.9;64.4;380
Gabonafélék, kenyerek, pékáruk;zsemle, kifli;9.5;0.7;57.2;277
Gabonafélék, kenyerek, pékáruk;zsemlemorzsa;10.1;0.9;73.2;342
Gabonafélék, kenyerek, pékáruk;zsírtalan szójaliszt;46.8;2;30.8;328
Gabonafélék, kenyerek, pékáruk;árpagyöngy;9.1;1.4;75.3;356
Gabonafélék, kenyerek, pékáruk;árpapehely;12.2;2;75.2;372
Gyümölcslevek, zöldséglevek, üdítőitalok;citromlé;0.2;0;3;18
Gyümölcslevek, zöldséglevek, üdítőitalok;cola light üdítő;0;0;0.1;0
Gyümölcslevek, zöldséglevek, üdítőitalok;cola üdítő;0;0;10.3;40
Gyümölcslevek, zöldséglevek, üdítőitalok;csipkeszörp;0;0;62;251
Gyümölcslevek, zöldséglevek, üdítőitalok;friss almalé;0.1;0;14.1;59
